"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1983-Q4","Q4-1983","GBP","Pound Sterling","0","Units",,,7041.50312670142,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1984-Q1","Q1-1984","GBP","Pound Sterling","0","Units",,,7143.11929799588,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1984-Q2","Q2-1984","GBP","Pound Sterling","0","Units",,,7253.14962614854,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1984-Q3","Q3-1984","GBP","Pound Sterling","0","Units",,,7323.97601181272,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1984-Q4","Q4-1984","GBP","Pound Sterling","0","Units",,,7553.1318980919,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1985-Q1","Q1-1985","GBP","Pound Sterling","0","Units",,,7758.37070952417,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1985-Q2","Q2-1985","GBP","Pound Sterling","0","Units",,,7839.71724927053,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1985-Q3","Q3-1985","GBP","Pound Sterling","0","Units",,,7939.64769206368,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1985-Q4","Q4-1985","GBP","Pound Sterling","0","Units",,,8118.98459130822,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1986-Q1","Q1-1986","GBP","Pound Sterling","0","Units",,,8290.37183003049,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1986-Q2","Q2-1986","GBP","Pound Sterling","0","Units",,,8447.64859312132,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1986-Q3","Q3-1986","GBP","Pound Sterling","0","Units",,,8594.66644286535,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1986-Q4","Q4-1986","GBP","Pound Sterling","0","Units",,,8716.46606634443,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1987-Q1","Q1-1987","GBP","Pound Sterling","0","Units",,,8881.13313237157,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1987-Q2","Q2-1987","GBP","Pound Sterling","0","Units",,,9074.80858737113,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1987-Q3","Q3-1987","GBP","Pound Sterling","0","Units",,,9243.28555827352,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1987-Q4","Q4-1987","GBP","Pound Sterling","0","Units",,,9447.57376315189,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1988-Q1","Q1-1988","GBP","Pound Sterling","0","Units",,,9644.52261118144,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1988-Q2","Q2-1988","GBP","Pound Sterling","0","Units",,,9824.30527557342,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1988-Q3","Q3-1988","GBP","Pound Sterling","0","Units",,,10077.8259517695,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1988-Q4","Q4-1988","GBP","Pound Sterling","0","Units",,,10350.9616429559,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1989-Q1","Q1-1989","GBP","Pound Sterling","0","Units",,,10521.2293060761,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1989-Q2","Q2-1989","GBP","Pound Sterling","0","Units",,,10778.793612623,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1989-Q3","Q3-1989","GBP","Pound Sterling","0","Units",,,11041.7174517657,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1989-Q4","Q4-1989","GBP","Pound Sterling","0","Units",,,11364.4571927191,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1990-Q1","Q1-1990","GBP","Pound Sterling","0","Units",,,11696.292878922,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1990-Q2","Q2-1990","GBP","Pound Sterling","0","Units",,,11978.686741655,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1990-Q3","Q3-1990","GBP","Pound Sterling","0","Units",,,12154.3804050845,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1990-Q4","Q4-1990","GBP","Pound Sterling","0","Units",,,12312.5265611373,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1991-Q1","Q1-1991","GBP","Pound Sterling","0","Units",,,12615.6110378113,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1991-Q2","Q2-1991","GBP","Pound Sterling","0","Units",,,12898.1082127401,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1991-Q3","Q3-1991","GBP","Pound Sterling","0","Units",,,13252.7904103672,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1991-Q4","Q4-1991","GBP","Pound Sterling","0","Units",,,13491.2795717509,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1992-Q1","Q1-1992","GBP","Pound Sterling","0","Units",,,13674.3265415744,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1992-Q2","Q2-1992","GBP","Pound Sterling","0","Units",,,13735.8807533739,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1992-Q3","Q3-1992","GBP","Pound Sterling","0","Units",,,13789.2738157186,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1992-Q4","Q4-1992","GBP","Pound Sterling","0","Units",,,13927.8714139962,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1993-Q1","Q1-1993","GBP","Pound Sterling","0","Units",,,13984.6232940997,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1993-Q2","Q2-1993","GBP","Pound Sterling","0","Units",,,14213.0770026614,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1993-Q3","Q3-1993","GBP","Pound Sterling","0","Units",,,14372.8430467065,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1993-Q4","Q4-1993","GBP","Pound Sterling","0","Units",,,14491.9075773608,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1994-Q1","Q1-1994","GBP","Pound Sterling","0","Units",,,14557.3150745952,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1994-Q2","Q2-1994","GBP","Pound Sterling","0","Units",,,14580.2995826651,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1994-Q3","Q3-1994","GBP","Pound Sterling","0","Units",,,14775.0210104748,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1994-Q4","Q4-1994","GBP","Pound Sterling","0","Units",,,14933.8279047139,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1995-Q1","Q1-1995","GBP","Pound Sterling","0","Units",,,15031.3296903461,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1995-Q2","Q2-1995","GBP","Pound Sterling","0","Units",,,15108.6138927908,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1995-Q3","Q3-1995","GBP","Pound Sterling","0","Units",,,15191.2016587037,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1995-Q4","Q4-1995","GBP","Pound Sterling","0","Units",,,15375.3414841686,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1996-Q1","Q1-1996","GBP","Pound Sterling","0","Units",,,15400.6263982103,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1996-Q2","Q2-1996","GBP","Pound Sterling","0","Units",,,15545.0160771704,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1996-Q3","Q3-1996","GBP","Pound Sterling","0","Units",,,15769.1758829825,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1996-Q4","Q4-1996","GBP","Pound Sterling","0","Units",,,15828.0294300151,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1997-Q1","Q1-1997","GBP","Pound Sterling","0","Units",,,16187.1735217945,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1997-Q2","Q2-1997","GBP","Pound Sterling","0","Units",,,16495.4440423769,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1997-Q3","Q3-1997","GBP","Pound Sterling","0","Units",,,16740.0452095288,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1997-Q4","Q4-1997","GBP","Pound Sterling","0","Units",,,16819.5586326266,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1998-Q1","Q1-1998","GBP","Pound Sterling","0","Units",,,16781.4941090156,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1998-Q2","Q2-1998","GBP","Pound Sterling","0","Units",,,17037.3683078908,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1998-Q3","Q3-1998","GBP","Pound Sterling","0","Units",,,17207.5278453463,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1998-Q4","Q4-1998","GBP","Pound Sterling","0","Units",,,17227.4619763786,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1999-Q1","Q1-1999","GBP","Pound Sterling","0","Units",,,17580.970117667,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1999-Q2","Q2-1999","GBP","Pound Sterling","0","Units",,,18038.0196012166,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1999-Q3","Q3-1999","GBP","Pound Sterling","0","Units",,,18235.2101440148,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","1999-Q4","Q4-1999","GBP","Pound Sterling","0","Units",,,18429.950277859,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2000-Q1","Q1-2000","GBP","Pound Sterling","0","Units",,,18440.737342564,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2000-Q2","Q2-2000","GBP","Pound Sterling","0","Units",,,18727.4613118699,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2000-Q3","Q3-2000","GBP","Pound Sterling","0","Units",,,19124.2711219553,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2000-Q4","Q4-2000","GBP","Pound Sterling","0","Units",,,19501.2180519427,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2001-Q1","Q1-2001","GBP","Pound Sterling","0","Units",,,19896.0781887913,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2001-Q2","Q2-2001","GBP","Pound Sterling","0","Units",,,19934.9058929892,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2001-Q3","Q3-2001","GBP","Pound Sterling","0","Units",,,20065.5117073372,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2001-Q4","Q4-2001","GBP","Pound Sterling","0","Units",,,20180.8715615136,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2002-Q1","Q1-2002","GBP","Pound Sterling","0","Units",,,20263.4622482877,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2002-Q2","Q2-2002","GBP","Pound Sterling","0","Units",,,20283.5802620301,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2002-Q3","Q3-2002","GBP","Pound Sterling","0","Units",,,20475.5953110322,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2002-Q4","Q4-2002","GBP","Pound Sterling","0","Units",,,20540.8560311284,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2003-Q1","Q1-2003","GBP","Pound Sterling","0","Units",,,20785.7171906137,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2003-Q2","Q2-2003","GBP","Pound Sterling","0","Units",,,21083.187568645,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2003-Q3","Q3-2003","GBP","Pound Sterling","0","Units",,,21470.5474139691,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2003-Q4","Q4-2003","GBP","Pound Sterling","0","Units",,,21787.3310535743,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2004-Q1","Q1-2004","GBP","Pound Sterling","0","Units",,,22049.3956910142,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2004-Q2","Q2-2004","GBP","Pound Sterling","0","Units",,,22191.9604906287,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2004-Q3","Q3-2004","GBP","Pound Sterling","0","Units",,,22470.2330636397,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2004-Q4","Q4-2004","GBP","Pound Sterling","0","Units",,,22709.4654163661,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2005-Q1","Q1-2005","GBP","Pound Sterling","0","Units",,,23032.2220449832,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2005-Q2","Q2-2005","GBP","Pound Sterling","0","Units",,,22977.2781631189,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2005-Q3","Q3-2005","GBP","Pound Sterling","0","Units",,,23241.5382170666,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2005-Q4","Q4-2005","GBP","Pound Sterling","0","Units",,,23250.2489345601,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2006-Q1","Q1-2006","GBP","Pound Sterling","0","Units",,,23947.8502080444,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2006-Q2","Q2-2006","GBP","Pound Sterling","0","Units",,,24061.9664875119,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2006-Q3","Q3-2006","GBP","Pound Sterling","0","Units",,,24290.0268689742,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2006-Q4","Q4-2006","GBP","Pound Sterling","0","Units",,,24687.4382972002,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2007-Q1","Q1-2007","GBP","Pound Sterling","0","Units",,,25634.3490304709,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2007-Q2","Q2-2007","GBP","Pound Sterling","0","Units",,,25372.7233389717,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2007-Q3","Q3-2007","GBP","Pound Sterling","0","Units",,,25848.3386293202,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2007-Q4","Q4-2007","GBP","Pound Sterling","0","Units",,,25903.5731003277,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2008-Q1","Q1-2008","GBP","Pound Sterling","0","Units",,,26277.1529750555,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2008-Q2","Q2-2008","GBP","Pound Sterling","0","Units",,,25994.0975458217,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2008-Q3","Q3-2008","GBP","Pound Sterling","0","Units",,,25971.7980679339,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2008-Q4","Q4-2008","GBP","Pound Sterling","0","Units",,,25825.6658595642,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2009-Q1","Q1-2009","GBP","Pound Sterling","0","Units",,,25471.5156280716,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2009-Q2","Q2-2009","GBP","Pound Sterling","0","Units",,,26242.5833134495,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2009-Q3","Q3-2009","GBP","Pound Sterling","0","Units",,,26269.8526483473,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2009-Q4","Q4-2009","GBP","Pound Sterling","0","Units",,,26313.9863761303,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2010-Q1","Q1-2010","GBP","Pound Sterling","0","Units",,,26360.5270535464,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2010-Q2","Q2-2010","GBP","Pound Sterling","0","Units",,,26160.6965371924,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2010-Q3","Q3-2010","GBP","Pound Sterling","0","Units",,,26389.6330347943,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2010-Q4","Q4-2010","GBP","Pound Sterling","0","Units",,,26471.1759574974,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2011-Q1","Q1-2011","GBP","Pound Sterling","0","Units",,,26977.7602523659,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2011-Q2","Q2-2011","GBP","Pound Sterling","0","Units",,,26830.7619460995,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2011-Q3","Q3-2011","GBP","Pound Sterling","0","Units",,,26985.2724007184,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2011-Q4","Q4-2011","GBP","Pound Sterling","0","Units",,,26916.6932143995,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2012-Q1","Q1-2012","GBP","Pound Sterling","0","Units",,,27126.6486572382,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2012-Q2","Q2-2012","GBP","Pound Sterling","0","Units",,,27028.6187976158,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2012-Q3","Q3-2012","GBP","Pound Sterling","0","Units",,,27175.9845772514,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2012-Q4","Q4-2012","GBP","Pound Sterling","0","Units",,,27129.3518699824,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2013-Q1","Q1-2013","GBP","Pound Sterling","0","Units",,,27231.0582341891,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2013-Q2","Q2-2013","GBP","Pound Sterling","0","Units",,,28119.2492293284,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2013-Q3","Q3-2013","GBP","Pound Sterling","0","Units",,,28222.6105868189,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2013-Q4","Q4-2013","GBP","Pound Sterling","0","Units",,,28649.6602601437,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2014-Q1","Q1-2014","GBP","Pound Sterling","0","Units",,,28821.6802168022,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2014-Q2","Q2-2014","GBP","Pound Sterling","0","Units",,,28674.8508755051,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2014-Q3","Q3-2014","GBP","Pound Sterling","0","Units",,,28425.8049730721,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2014-Q4","Q4-2014","GBP","Pound Sterling","0","Units",,,28580.1329534663,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2015-Q1","Q1-2015","GBP","Pound Sterling","0","Units",,,28725.85998793,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2015-Q2","Q2-2015","GBP","Pound Sterling","0","Units",,,28963.4970367295,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2015-Q3","Q3-2015","GBP","Pound Sterling","0","Units",,,29147.5077823201,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2015-Q4","Q4-2015","GBP","Pound Sterling","0","Units",,,29194.694563796,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2016-Q1","Q1-2016","GBP","Pound Sterling","0","Units",,,29452.7244188654,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2016-Q2","Q2-2016","GBP","Pound Sterling","0","Units",,,29698.9792116832,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2016-Q3","Q3-2016","GBP","Pound Sterling","0","Units",,,29892.3963562,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2016-Q4","Q4-2016","GBP","Pound Sterling","0","Units",,,29840.4844162116,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2017-Q1","Q1-2017","GBP","Pound Sterling","0","Units",,,30050.2386149236,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2017-Q2","Q2-2017","GBP","Pound Sterling","0","Units",,,30496.0766255296,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2017-Q3","Q3-2017","GBP","Pound Sterling","0","Units",,,30709.9340675531,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2017-Q4","Q4-2017","GBP","Pound Sterling","0","Units",,,30844.2030315264,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2018-Q1","Q1-2018","GBP","Pound Sterling","0","Units",,,31108.2969432314,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2018-Q2","Q2-2018","GBP","Pound Sterling","0","Units",,,31038.8713137704,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2018-Q3","Q3-2018","GBP","Pound Sterling","0","Units",,,31593.1342308669,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2018-Q4","Q4-2018","GBP","Pound Sterling","0","Units",,,32001.0131712259,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2019-Q1","Q1-2019","GBP","Pound Sterling","0","Units",,,32230.2793457809,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2019-Q2","Q2-2019","GBP","Pound Sterling","0","Units",,,32585.6333658044,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2019-Q3","Q3-2019","GBP","Pound Sterling","0","Units",,,32658.4528670015,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2019-Q4","Q4-2019","GBP","Pound Sterling","0","Units",,,32376.6603074043,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2020-Q1","Q1-2020","GBP","Pound Sterling","0","Units",,,32481.6288489802,,
"GBR","United Kingdom","WRT","Wage rate, total economy","Q","Quarterly","2020-Q2","Q2-2020","GBP","Pound Sterling","0","Units",,,31562.4527418716,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1979-Q1","Q1-1979","GBP","Pound Sterling","0","Units",,,192900183532.47,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1979-Q2","Q2-1979","GBP","Pound Sterling","0","Units",,,201562396665.789,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1979-Q3","Q3-1979","GBP","Pound Sterling","0","Units",,,213047489671.3,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1979-Q4","Q4-1979","GBP","Pound Sterling","0","Units",,,224754937093.977,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1980-Q1","Q1-1980","GBP","Pound Sterling","0","Units",,,236736033758.425,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1980-Q2","Q2-1980","GBP","Pound Sterling","0","Units",,,246365269551.275,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1980-Q3","Q3-1980","GBP","Pound Sterling","0","Units",,,255815391561.486,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1980-Q4","Q4-1980","GBP","Pound Sterling","0","Units",,,264213485697.818,,
"GBR","United Kingdom","YRH_G","Gross current receipts of households and non-profit institutions serving households","Q","Quarterly","1981-Q1","Q1-1981","GBP","Pound Sterling","0","Units",,,270626951732.661,,
